, State, County, Local_Co_Name
132,ARKANSAS,Independence,Indco Cable TV
133,ARKANSAS,Union,Suddenlink Communications
134,ARKANSAS,Union,Suddenlink Communications
135,ARKANSAS,Union,Suddenlink Communications
136,ARKANSAS,Garland,Suddenlink Communications
137,ARKANSAS,Garland,Suddenlink Communications
138,ARIZONA,Maricopa,Cox Communications
139,ARIZONA,Maricopa,Cox Communications
140,ARIZONA,Maricopa,Cox Communications
141,ARIZONA,Maricopa,Cox Communications
142,ARIZONA,Yuma,Time Warner Cable
143,ARIZONA,Yuma,Time Warner Cable
144,ARIZONA,Yuma,Time Warner Cable
145,ARIZONA,Yuma,Time Warner Cable
146,ARIZONA,Cochise,Cox Communications
147,ARIZONA,Cochise,Cox Communications
148,ARIZONA,Cochise,Cox Communications
149,ARIZONA,Yavapai,Cable One
150,ARIZONA,Yavapai,Cable One
151,ARIZONA,Pinal,Mediacom
152,ARIZONA,Pinal,Mediacom
153,ARIZONA,Mohave,Suddenlink Communications
154,ARIZONA,Mohave,Suddenlink Communications
155,ARIZONA,Mohave,Suddenlink Communications
156,ARIZONA,Mohave,Suddenlink Communications
157,ARIZONA,Coconino,Suddenlink Communications
158,ARIZONA,Coconino,Suddenlink Communications
159,ARIZONA,Navajo,Cable One
160,ARIZONA,Navajo,Cable One
161,ARIZONA,Navajo,Cable One
162,ARIZONA,Mohave,Suddenlink Communications
163,ARIZONA,Mohave,Suddenlink Communications
164,ARIZONA,La Paz,Suddenlink Communications
165,ARIZONA,La Paz,Suddenlink Communications
166,ARIZONA,Gila,Cable One
167,ARIZONA,Gila,Cable One
168,ARIZONA,Graham,Cable One
169,ARIZONA,Graham,Cable One
170,ARIZONA,Gila,Suddenlink Communications
171,ARIZONA,Gila,Suddenlink Communications
172,ARIZONA,Coconino,Suddenlink Communications
173,ARIZONA,Coconino,Suddenlink Communications
174,ARIZONA,Cochise,Cable One
175,ARIZONA,Cochise,Cable One
176,ARIZONA,Coconino,Cable One
177,ARIZONA,Coconino,Cable One
178,ARIZONA,Maricopa,Orbitel Communications
179,ARIZONA,Maricopa,Orbitel Communications
180,ARIZONA,Maricopa,Orbitel Communications
181,ARIZONA,Pima,Orbitel Communications
182,ARIZONA,Pima,Orbitel Communications
183,ARIZONA,Pima,Orbitel Communications
184,ARIZONA,Pinal,Orbitel Communications
185,ARIZONA,Pinal,Orbitel Communications
186,ARIZONA,Pinal,Orbitel Communications
187,CALIFORNIA,San Diego,Cox Communications
188,CALIFORNIA,San Diego,Cox Communications
189,CALIFORNIA,San Diego,Cox Communications
190,CALIFORNIA,Santa Clara,Comcast Cable
191,CALIFORNIA,Santa Clara,Comcast Cable
192,CALIFORNIA,Santa Clara,Comcast Cable
193,CALIFORNIA,Los Angeles,Charter Communications
194,CALIFORNIA,Los Angeles,Charter Communications
195,CALIFORNIA,San Diego,Time Warner Cable
196,CALIFORNIA,San Diego,Time Warner Cable
197,CALIFORNIA,San Diego,Time Warner Cable
198,CALIFORNIA,Fresno,Comcast Cable
199,CALIFORNIA,Fresno,Comcast Cable
200,CALIFORNIA,Fresno,Comcast Cable
201,CALIFORNIA,Orange,Cox Communications
202,CALIFORNIA,Orange,Cox Communications
203,CALIFORNIA,Orange,Cox Communications
204,CALIFORNIA,Contra Costa,Comcast Cable
205,CALIFORNIA,Contra Costa,Comcast Cable
206,CALIFORNIA,Contra Costa,Comcast Cable
207,CALIFORNIA,Los Angeles,Charter Communications
208,CALIFORNIA,Los Angeles,Charter Communications
209,CALIFORNIA,Kern-West,Bright House Networks
210,CALIFORNIA,Kern-West,Bright House Networks
211,CALIFORNIA,Kern-West,Bright House Networks
212,CALIFORNIA,San Joaquin,Comcast Cable
213,CALIFORNIA,San Joaquin,Comcast Cable
214,CALIFORNIA,San Joaquin,Comcast Cable
215,CALIFORNIA,Monterey,Comcast Cable
216,CALIFORNIA,Monterey,Comcast Cable
217,CALIFORNIA,Monterey,Comcast Cable
218,CALIFORNIA,Santa Barbara,Cox Communications
219,CALIFORNIA,Santa Barbara,Cox Communications
220,CALIFORNIA,Santa Barbara,Cox Communications
221,CALIFORNIA,Napa,Comcast Cable
222,CALIFORNIA,Napa,Comcast Cable
223,CALIFORNIA,Napa,Comcast Cable
224,CALIFORNIA,Stanislaus,Comcast Cable
225,CALIFORNIA,Stanislaus,Comcast Cable
226,CALIFORNIA,Stanislaus,Comcast Cable
227,CALIFORNIA,San Luis Obispo,Charter Communications
228,CALIFORNIA,San Luis Obispo,Charter Communications
229,CALIFORNIA,Humboldt,Suddenlink Communications
230,CALIFORNIA,Humboldt,Suddenlink Communications
231,CALIFORNIA,Humboldt,Suddenlink Communications
232,CALIFORNIA,Butte,Comcast Cable
233,CALIFORNIA,Butte,Comcast Cable
234,CALIFORNIA,Butte,Comcast Cable
235,CALIFORNIA,Sutter,Comcast Cable
236,CALIFORNIA,Sutter,Comcast Cable
237,CALIFORNIA,Sutter,Comcast Cable
238,CALIFORNIA,Merced,Comcast Cable
239,CALIFORNIA,Merced,Comcast Cable
240,CALIFORNIA,Stanislaus,Charter Communications
241,CALIFORNIA,Contra Costa,Comcast Cable
242,CALIFORNIA,Contra Costa,Comcast Cable
243,CALIFORNIA,Contra Costa,Comcast Cable
244,CALIFORNIA,Lake,Mediacom
245,CALIFORNIA,Lake,Mediacom
246,CALIFORNIA,Lake,Mediacom
247,CALIFORNIA,El Dorado-West,Comcast Cable
248,CALIFORNIA,El Dorado-West,Comcast Cable
249,CALIFORNIA,El Dorado-West,Comcast Cable
250,CALIFORNIA,Mendocino,Comcast Cable
251,CALIFORNIA,Mendocino,Comcast Cable
252,CALIFORNIA,Kern-East,Mediacom
253,CALIFORNIA,Kern-East,Mediacom
254,CALIFORNIA,Kern-East,Mediacom
255,CALIFORNIA,Placer,Wave Broadband
256,CALIFORNIA,Placer,Wave Broadband
257,CALIFORNIA,Placer,Wave Broadband
258,CALIFORNIA,Calaveras,Comcast Cable
259,CALIFORNIA,Calaveras,Comcast Cable
260,CALIFORNIA,Calaveras,Comcast Cable
261,CALIFORNIA,San Mateo,City of San Bruno Municipal Cable TV
262,CALIFORNIA,San Mateo,City of San Bruno Municipal Cable TV
263,CALIFORNIA,San Mateo,City of San Bruno Municipal Cable TV
264,CALIFORNIA,San Mateo,City of San Bruno Municipal Cable TV
265,CALIFORNIA,San Mateo,City of San Bruno Municipal Cable TV
266,CALIFORNIA,San Joaquin,Comcast Cable
267,CALIFORNIA,San Joaquin,Comcast Cable
268,CALIFORNIA,San Joaquin,Comcast Cable
269,CALIFORNIA,Ventura,Charter Communications
270,CALIFORNIA,Ventura,Charter Communications
271,CALIFORNIA,Tuolumne,Comcast Cable
272,CALIFORNIA,Tuolumne,Comcast Cable
273,CALIFORNIA,Tuolumne,Comcast Cable
274,CALIFORNIA,San Bernardino,Time Warner Cable
275,CALIFORNIA,San Bernardino,Time Warner Cable
276,CALIFORNIA,San Bernardino,Time Warner Cable
277,CALIFORNIA,San Bernardino,Charter Communications
278,CALIFORNIA,San Bernardino,Charter Communications
279,CALIFORNIA,Kern,Mediacom
280,CALIFORNIA,Kern,Mediacom
281,CALIFORNIA,Kern,Mediacom
282,CALIFORNIA,Riverside-West,Time Warner Cable
283,CALIFORNIA,Riverside-West,Time Warner Cable
284,CALIFORNIA,Riverside-West,Time Warner Cable
285,CALIFORNIA,Stanislaus,Comcast Cable
286,CALIFORNIA,Stanislaus,Comcast Cable
287,CALIFORNIA,Stanislaus,Comcast Cable
288,CALIFORNIA,Nevada,Suddenlink Communications
289,CALIFORNIA,Nevada,Suddenlink Communications
290,CALIFORNIA,Riverside-East,Suddenlink Communications
291,CALIFORNIA,Riverside-East,Suddenlink Communications
292,CALIFORNIA,Los Angeles,Catalina Cable TV Co.
293,CALIFORNIA,Los Angeles,Catalina Cable TV Co.
294,CALIFORNIA,Marin,Horizon Cable TV Inc
295,CALIFORNIA,Marin,Horizon Cable TV Inc
296,CALIFORNIA,Marin,Horizon Cable TV Inc
297,CALIFORNIA,Amador,Volcano Vision
298,CALIFORNIA,Amador,Volcano Vision
299,CALIFORNIA,Amador,Volcano Vision
300,CALIFORNIA,San Luis Obispo,San Simeon Community Cable Inc
301,CALIFORNIA,Inyo,Suddenlink Communications
302,CALIFORNIA,Inyo,Suddenlink Communications
303,CALIFORNIA,Inyo,Suddenlink Communications
304,CALIFORNIA,Inyo,Lone Pine TV Inc
305,CALIFORNIA,Inyo,Lone Pine TV Inc
306,CALIFORNIA,Inyo,Lone Pine TV Inc
307,CALIFORNIA,Mono,Suddenlink Communications
308,CALIFORNIA,Mono,Suddenlink Communications
309,CALIFORNIA,Sonoma,Compass Digital Media
310,CALIFORNIA,Riverside-West,Mediacom
311,CALIFORNIA,Riverside-West,Mediacom
312,CALIFORNIA,Riverside-West,Mediacom
313,CALIFORNIA,Santa Barbara,Vandenberg Broadband
314,CALIFORNIA,Santa Barbara,Vandenberg Broadband
315,CALIFORNIA,Kern-East,Charter Communications
316,CALIFORNIA,Kern-East,Charter Communications
